,code,trade_dt,close
57726,CI005017,2015-03-17,4080.8368
57727,CI005018,2015-03-17,8738.283
57728,CI005019,2015-03-17,7201.0483
57729,CI005020,2015-03-17,5026.9502
57730,CI005021,2015-03-17,5515.0895
57731,CI005022,2015-03-17,10421.8036
57732,CI005023,2015-03-17,6429.884
57733,CI005024,2015-03-17,2445.3525
57734,CI005025,2015-03-17,4442.1379
57735,CI005026,2015-03-17,4119.4387
57736,CI005027,2015-03-17,7016.1688
57737,CI005028,2015-03-17,6209.8531
57738,CI005029,2015-03-17,5256.5867
57739,CI005001,2015-03-18,2675.489
57740,CI005002,2015-03-18,1973.2841
57741,CI005003,2015-03-18,5377.9487
57742,CI005004,2015-03-18,3408.7655
57743,CI005005,2015-03-18,2164.0204
57744,CI005006,2015-03-18,4655.7914
57745,CI005007,2015-03-18,4550.5524
57746,CI005008,2015-03-18,5255.321
57747,CI005009,2015-03-18,3484.4097
57748,CI005010,2015-03-18,6278.8711
57749,CI005011,2015-03-18,6108.2396
57750,CI005012,2015-03-18,8637.8488
57751,CI005013,2015-03-18,6626.0051
57752,CI005014,2015-03-18,6397.2697
57753,CI005015,2015-03-18,5990.3701
57754,CI005016,2015-03-18,7502.2257
57755,CI005017,2015-03-18,4154.9618
57756,CI005018,2015-03-18,8874.4001
57757,CI005019,2015-03-18,7323.6327
57758,CI005020,2015-03-18,5119.7544
57759,CI005021,2015-03-18,5637.091
57760,CI005022,2015-03-18,10654.5209
57761,CI005023,2015-03-18,6598.7451
57762,CI005024,2015-03-18,2505.8822
57763,CI005025,2015-03-18,4547.1491
57764,CI005026,2015-03-18,4213.8081
57765,CI005027,2015-03-18,7185.8395
57766,CI005028,2015-03-18,6363.7482
57767,CI005029,2015-03-18,5337.3683
57768,CI005001,2015-03-19,2700.2821
57769,CI005002,2015-03-19,1982.6586
57770,CI005003,2015-03-19,5458.3446
57771,CI005004,2015-03-19,3448.0334
57772,CI005005,2015-03-19,2152.3722
57773,CI005006,2015-03-19,4721.7287
57774,CI005007,2015-03-19,4753.0032
57775,CI005008,2015-03-19,5303.893
57776,CI005009,2015-03-19,3508.8115
57777,CI005010,2015-03-19,6382.3662
57778,CI005011,2015-03-19,6205.5335
57779,CI005012,2015-03-19,8659.2553
57780,CI005013,2015-03-19,6656.6601
57781,CI005014,2015-03-19,6415.4572
57782,CI005015,2015-03-19,6087.6744
57783,CI005016,2015-03-19,7517.3062
57784,CI005017,2015-03-19,4214.3579
57785,CI005018,2015-03-19,8858.479
57786,CI005019,2015-03-19,7289.836
57787,CI005020,2015-03-19,5156.3571
57788,CI005021,2015-03-19,5568.0548
